"sample_number","type"
62545,"NORMAL"
62850,"NORMAL"
63151,"NORMAL"
63437,"NORMAL"
63710,"NORMAL"
63997,"NORMAL"
64287,"NORMAL"
64580,"NORMAL"
64874,"NORMAL"
65173,"NORMAL"
65463,"NORMAL"
65749,"NORMAL"
66028,"NORMAL"
66306,"NORMAL"
66603,"NORMAL"
66791,"NORMAL"
67129,"NORMAL"
67432,"NORMAL"
67727,"NORMAL"
68006,"NORMAL"
68300,"NORMAL"
68593,"NORMAL"
68885,"NORMAL"
69189,"NORMAL"
69501,"NORMAL"
69795,"NORMAL"
70072,"NORMAL"
70356,"NORMAL"
70641,"NORMAL"
70940,"NORMAL"
71238,"NORMAL"
71538,"NORMAL"
71844,"NORMAL"
72137,"NORMAL"
72416,"NORMAL"
72701,"NORMAL"
72997,"NORMAL"
73300,"NORMAL"
73610,"NORMAL"
73910,"NORMAL"
74194,"NORMAL"
74482,"NORMAL"
74765,"NORMAL"
74984,"NORMAL"
75331,"NORMAL"
75631,"NORMAL"
75932,"NORMAL"
76232,"NORMAL"
76514,"NORMAL"
76784,"NORMAL"
77072,"NORMAL"
77364,"NORMAL"
77662,"NORMAL"
77952,"NORMAL"
78250,"NORMAL"
78538,"NORMAL"
78822,"NORMAL"
79098,"NORMAL"
79384,"NORMAL"
79687,"NORMAL"
79990,"NORMAL"
80289,"NORMAL"
80582,"NORMAL"
80867,"NORMAL"
81150,"NORMAL"
81437,"NORMAL"
81729,"NORMAL"
82029,"NORMAL"
82333,"NORMAL"
82635,"NORMAL"
82925,"NORMAL"
83208,"NORMAL"
83491,"NORMAL"
83793,"NORMAL"
84102,"NORMAL"
84406,"NORMAL"
84707,"NORMAL"
85008,"NORMAL"
85302,"NORMAL"
85578,"NORMAL"
85869,"NORMAL"
86170,"NORMAL"
86477,"NORMAL"
86778,"NORMAL"
87076,"NORMAL"
87363,"NORMAL"
87650,"NORMAL"
87939,"NORMAL"
88230,"NORMAL"
88529,"NORMAL"
88833,"NORMAL"
89134,"NORMAL"
89420,"NORMAL"
89702,"NORMAL"
89986,"NORMAL"
90285,"NORMAL"
90588,"NORMAL"
90883,"NORMAL"
91188,"NORMAL"
91480,"NORMAL"
91760,"NORMAL"
92044,"NORMAL"
92336,"NORMAL"
92631,"NORMAL"
92943,"NORMAL"
93245,"NORMAL"
93533,"NORMAL"
93823,"NORMAL"
94101,"NORMAL"
94392,"NORMAL"
94691,"NORMAL"
94993,"NORMAL"
95297,"NORMAL"
95605,"NORMAL"
95892,"NORMAL"
96169,"NORMAL"
96449,"NORMAL"
96744,"NORMAL"
97049,"NORMAL"
97347,"NORMAL"
97643,"NORMAL"
97935,"NORMAL"
98227,"NORMAL"
98507,"NORMAL"
98788,"NORMAL"
99081,"NORMAL"
99381,"NORMAL"
99578,"NORMAL"
99929,"NORMAL"
100217,"NORMAL"
100495,"NORMAL"
100780,"NORMAL"
101069,"NORMAL"
101358,"NORMAL"
101652,"NORMAL"
101940,"NORMAL"
102233,"NORMAL"
102515,"NORMAL"
102792,"NORMAL"
103072,"NORMAL"
103369,"NORMAL"
103668,"NORMAL"
103962,"NORMAL"
104260,"NORMAL"
104543,"NORMAL"
104829,"NORMAL"
105117,"NORMAL"
105405,"NORMAL"
105706,"NORMAL"
106014,"NORMAL"
106312,"NORMAL"
106599,"NORMAL"
106881,"NORMAL"
107158,"NORMAL"
107450,"NORMAL"
107748,"NORMAL"
108044,"NORMAL"
108340,"NORMAL"
108642,"NORMAL"
108924,"NORMAL"
109198,"NORMAL"
109484,"NORMAL"
109770,"NORMAL"
110075,"NORMAL"
110373,"NORMAL"
110672,"NORMAL"
110962,"NORMAL"
111242,"NORMAL"
111522,"NORMAL"
111809,"NORMAL"
112106,"NORMAL"
112403,"NORMAL"
112709,"NORMAL"
112999,"NORMAL"
113280,"NORMAL"
113561,"NORMAL"
113848,"NORMAL"
114139,"NORMAL"
114427,"NORMAL"
114714,"NORMAL"
114999,"NORMAL"
115279,"NORMAL"
115546,"NORMAL"
115814,"NORMAL"
116082,"NORMAL"
116368,"NORMAL"
116653,"NORMAL"
116938,"NORMAL"
117212,"NORMAL"
117493,"NORMAL"
117765,"NORMAL"
118043,"NORMAL"
118321,"NORMAL"
118606,"NORMAL"
118910,"NORMAL"
119214,"NORMAL"
119508,"NORMAL"
119791,"NORMAL"
120076,"NORMAL"
120374,"NORMAL"
120674,"NORMAL"
120990,"NORMAL"
121300,"NORMAL"
121603,"NORMAL"
121888,"NORMAL"
122168,"NORMAL"
122460,"NORMAL"
122749,"NORMAL"
123049,"NORMAL"
123358,"NORMAL"
123663,"NORMAL"
123935,"NORMAL"
124220,"NORMAL"
124506,"NORMAL"
124775,"NORMAL"
125058,"NORMAL"
125354,"NORMAL"
125648,"NORMAL"
125925,"NORMAL"
126202,"NORMAL"
126475,"NORMAL"
126745,"NORMAL"
127024,"NORMAL"
127312,"NORMAL"
127602,"NORMAL"
127890,"NORMAL"
128084,"NORMAL"
128421,"NORMAL"
128696,"NORMAL"
128957,"NORMAL"
129230,"NORMAL"
129518,"NORMAL"
129797,"NORMAL"
130056,"NORMAL"
130317,"NORMAL"
130566,"NORMAL"
130818,"NORMAL"
131072,"NORMAL"
131325,"NORMAL"
131583,"NORMAL"
131846,"NORMAL"
132120,"NORMAL"
132379,"NORMAL"
132628,"NORMAL"
132881,"NORMAL"
133131,"NORMAL"
133388,"NORMAL"
133661,"NORMAL"
133932,"NORMAL"
134196,"NORMAL"
134462,"NORMAL"
134736,"NORMAL"
134988,"NORMAL"
135242,"NORMAL"
135503,"NORMAL"
135779,"NORMAL"
136060,"NORMAL"
136349,"NORMAL"
136628,"NORMAL"
136898,"NORMAL"
137170,"NORMAL"
137448,"NORMAL"
137729,"NORMAL"
138007,"NORMAL"
138303,"NORMAL"
138597,"NORMAL"
138888,"NORMAL"
139163,"NORMAL"
139439,"NORMAL"
139718,"NORMAL"
140009,"NORMAL"
140299,"NORMAL"
140598,"NORMAL"
140880,"NORMAL"
141151,"NORMAL"
141422,"NORMAL"
141681,"NORMAL"
141942,"NORMAL"
142206,"NORMAL"
142478,"NORMAL"
142746,"NORMAL"
143010,"NORMAL"
143264,"NORMAL"
143514,"NORMAL"
143765,"NORMAL"
144024,"NORMAL"
144284,"NORMAL"
144556,"NORMAL"
144831,"NORMAL"
145111,"NORMAL"
145380,"NORMAL"
145646,"NORMAL"
145902,"NORMAL"
146169,"NORMAL"
146444,"NORMAL"
146736,"NORMAL"
147012,"NORMAL"
147289,"NORMAL"
147563,"NORMAL"
147831,"NORMAL"
148098,"NORMAL"
148361,"NORMAL"
148636,"NORMAL"
148915,"NORMAL"
149201,"NORMAL"
149487,"NORMAL"
149767,"NORMAL"
150029,"NORMAL"
150303,"NORMAL"
150574,"NORMAL"
150848,"NORMAL"
151121,"NORMAL"
151406,"NORMAL"
151697,"NORMAL"
151973,"NORMAL"
152236,"NORMAL"
152509,"NORMAL"
152780,"NORMAL"
153066,"NORMAL"
153361,"NORMAL"
153643,"NORMAL"
153921,"NORMAL"
154191,"NORMAL"
154469,"NORMAL"
154740,"NORMAL"
155008,"NORMAL"
155290,"NORMAL"
155586,"NORMAL"
155863,"NORMAL"
156131,"NORMAL"
156393,"NORMAL"
156647,"NORMAL"
156904,"NORMAL"
157167,"NORMAL"
157429,"NORMAL"
157694,"NORMAL"
157958,"NORMAL"
158230,"NORMAL"
158488,"NORMAL"
158729,"NORMAL"
158972,"NORMAL"
159223,"NORMAL"
159478,"NORMAL"
159736,"NORMAL"
160000,"NORMAL"
160258,"NORMAL"
160505,"NORMAL"
160753,"NORMAL"
161003,"NORMAL"
161252,"NORMAL"
161500,"NORMAL"
161763,"NORMAL"
162034,"NORMAL"
162307,"NORMAL"
162572,"NORMAL"
162834,"NORMAL"
163091,"NORMAL"
163360,"NORMAL"
163628,"NORMAL"
163898,"NORMAL"
164180,"NORMAL"
164459,"NORMAL"
164730,"NORMAL"
164990,"NORMAL"
165244,"NORMAL"
165498,"NORMAL"
165755,"NORMAL"
166030,"NORMAL"
166299,"NORMAL"
166569,"NORMAL"
166840,"NORMAL"
167110,"NORMAL"
167370,"NORMAL"
167640,"NORMAL"
167911,"NORMAL"
168189,"NORMAL"
168483,"NORMAL"
168783,"NORMAL"
169073,"NORMAL"
169348,"NORMAL"
169628,"NORMAL"
169904,"NORMAL"
170200,"NORMAL"
170495,"NORMAL"
170718,"NORMAL"
171073,"NORMAL"
171369,"NORMAL"
171652,"NORMAL"
171920,"NORMAL"
172198,"NORMAL"
172479,"NORMAL"
172774,"NORMAL"
173066,"NORMAL"
173349,"NORMAL"
173627,"NORMAL"
173906,"NORMAL"
174175,"NORMAL"
174450,"NORMAL"
174736,"NORMAL"
175022,"NORMAL"
175321,"NORMAL"
175607,"NORMAL"
175876,"NORMAL"
176143,"NORMAL"
176426,"NORMAL"
176695,"NORMAL"
176973,"NORMAL"
177246,"NORMAL"
177522,"NORMAL"
177795,"NORMAL"
178057,"NORMAL"
178315,"NORMAL"
178576,"NORMAL"
178839,"NORMAL"
179116,"NORMAL"
179386,"NORMAL"
179660,"NORMAL"
179925,"NORMAL"
180181,"NORMAL"
180442,"NORMAL"
180703,"NORMAL"
180963,"NORMAL"
181235,"NORMAL"
181522,"NORMAL"
181809,"NORMAL"
182083,"NORMAL"
182351,"NORMAL"
182622,"NORMAL"
182893,"NORMAL"
183180,"NORMAL"
183473,"NORMAL"
183777,"NORMAL"
184070,"NORMAL"
184359,"NORMAL"
184648,"NORMAL"
184932,"NORMAL"
185212,"NORMAL"
185508,"NORMAL"
185827,"NORMAL"
186136,"NORMAL"
186426,"NORMAL"
186716,"NORMAL"
187004,"NORMAL"
187290,"NORMAL"
187573,"NORMAL"
187870,"NORMAL"
188177,"NORMAL"
188479,"NORMAL"
188762,"NORMAL"
189041,"NORMAL"
189329,"NORMAL"
189623,"NORMAL"
189928,"NORMAL"
190227,"NORMAL"
190527,"NORMAL"
190819,"NORMAL"
191111,"NORMAL"
191393,"NORMAL"
191673,"NORMAL"
191975,"NORMAL"
192280,"NORMAL"
192574,"NORMAL"
192861,"NORMAL"
193145,"NORMAL"
193422,"NORMAL"
193701,"NORMAL"
193993,"NORMAL"
194280,"NORMAL"
194573,"NORMAL"
194865,"NORMAL"
195154,"NORMAL"
195424,"NORMAL"
195700,"NORMAL"
195977,"NORMAL"
196267,"NORMAL"
196559,"NORMAL"
196846,"NORMAL"
197131,"NORMAL"
197413,"NORMAL"
197684,"NORMAL"
197948,"NORMAL"
198222,"NORMAL"
198502,"NORMAL"
198790,"NORMAL"
199074,"NORMAL"
199351,"NORMAL"
199618,"NORMAL"
199893,"NORMAL"
200160,"NORMAL"
200431,"NORMAL"
200713,"NORMAL"
200992,"NORMAL"
201270,"NORMAL"
201543,"NORMAL"
201805,"NORMAL"
202066,"NORMAL"
202338,"NORMAL"
202612,"NORMAL"
202895,"NORMAL"
203180,"NORMAL"
203467,"NORMAL"
203740,"NORMAL"
204020,"NORMAL"
204298,"NORMAL"
204571,"NORMAL"
204853,"NORMAL"
205157,"NORMAL"
205457,"NORMAL"
205736,"NORMAL"
206015,"NORMAL"
206287,"NORMAL"
206565,"NORMAL"
206842,"NORMAL"
207128,"NORMAL"
207420,"NORMAL"
207723,"NORMAL"
208003,"NORMAL"
208277,"NORMAL"
208547,"NORMAL"
208821,"NORMAL"
209099,"NORMAL"
209391,"NORMAL"
209682,"NORMAL"
209971,"NORMAL"
210254,"NORMAL"
210533,"NORMAL"
210808,"NORMAL"
211085,"NORMAL"
211363,"NORMAL"
211653,"NORMAL"
211950,"NORMAL"
212227,"NORMAL"
212500,"NORMAL"
212776,"NORMAL"
213057,"NORMAL"
213325,"NORMAL"
213605,"NORMAL"
213893,"NORMAL"
214179,"NORMAL"
214463,"NORMAL"
214737,"NORMAL"
215004,"NORMAL"
215278,"NORMAL"
215562,"NORMAL"
215849,"NORMAL"
216139,"NORMAL"
216430,"NORMAL"
216708,"NORMAL"
216989,"NORMAL"
217268,"NORMAL"
217546,"NORMAL"
217823,"NORMAL"
218121,"NORMAL"
218413,"NORMAL"
218701,"NORMAL"
218971,"NORMAL"
219245,"NORMAL"
219525,"NORMAL"
219812,"NORMAL"
220097,"NORMAL"
220390,"NORMAL"
220689,"NORMAL"
220976,"NORMAL"
221251,"NORMAL"
221526,"NORMAL"
221803,"NORMAL"
222080,"NORMAL"
222374,"NORMAL"
222664,"NORMAL"
222950,"NORMAL"
223226,"NORMAL"
223506,"NORMAL"
223782,"NORMAL"
224046,"NORMAL"
224327,"NORMAL"
224620,"NORMAL"
224914,"NORMAL"
225194,"NORMAL"
225471,"NORMAL"
225741,"NORMAL"
226023,"NORMAL"
226295,"NORMAL"
226570,"NORMAL"
226861,"NORMAL"
227142,"NORMAL"
227424,"NORMAL"
227701,"NORMAL"
227974,"NORMAL"
228237,"NORMAL"
228515,"NORMAL"
228806,"NORMAL"
229093,"NORMAL"
229375,"NORMAL"
229658,"NORMAL"
229935,"NORMAL"
230213,"NORMAL"
230483,"NORMAL"
230759,"NORMAL"
231056,"NORMAL"
231357,"NORMAL"
231637,"NORMAL"
231912,"NORMAL"
232189,"NORMAL"
232458,"NORMAL"
232730,"NORMAL"
233014,"NORMAL"
233300,"NORMAL"
233587,"NORMAL"
233874,"NORMAL"
234150,"NORMAL"
234414,"NORMAL"
234683,"NORMAL"
234958,"NORMAL"
235248,"NORMAL"
235546,"NORMAL"
235826,"NORMAL"
236107,"NORMAL"
236389,"NORMAL"
236663,"NORMAL"
236927,"NORMAL"
237204,"NORMAL"
237494,"NORMAL"
237782,"NORMAL"
238070,"NORMAL"
238342,"NORMAL"
238608,"NORMAL"
238883,"NORMAL"
239155,"NORMAL"
239432,"NORMAL"
239716,"NORMAL"
239993,"NORMAL"
240265,"NORMAL"
240539,"NORMAL"
240807,"NORMAL"
241064,"NORMAL"
241317,"NORMAL"
241586,"NORMAL"
241853,"NORMAL"
242113,"NORMAL"
242372,"NORMAL"
242630,"NORMAL"
242878,"NORMAL"
243130,"NORMAL"
243386,"NORMAL"
243641,"NORMAL"
243907,"NORMAL"
244191,"NORMAL"
244459,"NORMAL"
244728,"NORMAL"
244983,"NORMAL"
245244,"NORMAL"
245514,"NORMAL"
245789,"NORMAL"
246064,"NORMAL"
246350,"NORMAL"
246646,"NORMAL"
246933,"NORMAL"
247200,"NORMAL"
247467,"NORMAL"
247740,"NORMAL"
248016,"NORMAL"
248298,"NORMAL"
248585,"NORMAL"
248876,"NORMAL"
249154,"NORMAL"
249432,"NORMAL"
249705,"NORMAL"
249987,"NORMAL"
250271,"NORMAL"
250555,"NORMAL"
250857,"NORMAL"
251159,"NORMAL"
251440,"NORMAL"
251709,"NORMAL"
251992,"NORMAL"
252284,"NORMAL"
252584,"NORMAL"
252866,"NORMAL"
253157,"NORMAL"
253454,"NORMAL"
253740,"NORMAL"
254008,"NORMAL"
254281,"NORMAL"
254583,"NORMAL"
254889,"NORMAL"
255169,"NORMAL"
255451,"NORMAL"
255736,"NORMAL"
256026,"NORMAL"
256294,"NORMAL"
256570,"NORMAL"
256859,"NORMAL"
257155,"NORMAL"
257438,"NORMAL"
257709,"NORMAL"
257964,"NORMAL"
258224,"NORMAL"
258477,"NORMAL"
258736,"NORMAL"
259002,"NORMAL"
259278,"NORMAL"
259539,"NORMAL"
259810,"NORMAL"
260075,"NORMAL"
260332,"NORMAL"
260584,"NORMAL"
260850,"NORMAL"
261131,"NORMAL"
261416,"NORMAL"
261688,"NORMAL"
261966,"NORMAL"
262239,"NORMAL"
262515,"NORMAL"
262787,"NORMAL"
263060,"NORMAL"
263348,"NORMAL"
263639,"NORMAL"
263929,"NORMAL"
264216,"NORMAL"
264497,"NORMAL"
264770,"NORMAL"
265061,"NORMAL"
265353,"NORMAL"
265651,"NORMAL"
265945,"NORMAL"
266237,"NORMAL"
266527,"NORMAL"
266814,"NORMAL"
267098,"NORMAL"
267374,"NORMAL"
267678,"NORMAL"
267977,"NORMAL"
268259,"NORMAL"
268543,"NORMAL"
268822,"NORMAL"
269101,"NORMAL"
269381,"NORMAL"
269668,"NORMAL"
269957,"NORMAL"
270255,"NORMAL"
270549,"NORMAL"
270820,"NORMAL"
271093,"NORMAL"
271369,"NORMAL"
271654,"NORMAL"
271950,"NORMAL"
272243,"NORMAL"
272532,"NORMAL"
272837,"NORMAL"
273122,"NORMAL"
273392,"NORMAL"
273674,"NORMAL"
273966,"NORMAL"
274262,"NORMAL"
274559,"NORMAL"
274851,"NORMAL"
275130,"NORMAL"
275401,"NORMAL"
275670,"NORMAL"
275947,"NORMAL"
276234,"NORMAL"
276514,"NORMAL"
276802,"NORMAL"
277101,"NORMAL"
277385,"NORMAL"
277647,"NORMAL"
277921,"NORMAL"
278210,"NORMAL"
278516,"NORMAL"
278811,"NORMAL"
279096,"NORMAL"
279380,"NORMAL"
279575,"NORMAL"
279916,"NORMAL"
280206,"NORMAL"
280509,"NORMAL"
280813,"NORMAL"
281108,"NORMAL"
281400,"NORMAL"
281680,"NORMAL"
281953,"NORMAL"
282231,"NORMAL"
282511,"NORMAL"
282799,"NORMAL"
283094,"NORMAL"
283387,"NORMAL"
283670,"NORMAL"
283941,"NORMAL"
284215,"NORMAL"
284490,"NORMAL"
284777,"NORMAL"
285071,"NORMAL"
285361,"NORMAL"
285651,"NORMAL"
285934,"NORMAL"
286208,"NORMAL"
286484,"NORMAL"
286761,"NORMAL"
287050,"NORMAL"
287349,"NORMAL"
287652,"NORMAL"
287943,"NORMAL"
288224,"NORMAL"
288505,"NORMAL"
288790,"NORMAL"
289074,"NORMAL"
289371,"NORMAL"
289665,"NORMAL"
289968,"NORMAL"
290256,"NORMAL"
290537,"NORMAL"
290812,"NORMAL"
291106,"NORMAL"
291405,"NORMAL"
291694,"NORMAL"
291988,"NORMAL"
292279,"NORMAL"
292565,"NORMAL"
292843,"NORMAL"
293121,"NORMAL"
293410,"NORMAL"
293710,"NORMAL"
294009,"NORMAL"
294294,"NORMAL"
294580,"NORMAL"
294854,"NORMAL"
295140,"NORMAL"
295420,"NORMAL"
295715,"NORMAL"
296011,"NORMAL"
296318,"NORMAL"
296610,"NORMAL"
296887,"NORMAL"
297167,"NORMAL"
297447,"NORMAL"
297737,"NORMAL"
298031,"NORMAL"
298332,"NORMAL"
298625,"NORMAL"
298918,"NORMAL"
299204,"NORMAL"
299481,"NORMAL"
299754,"NORMAL"
300050,"NORMAL"
300358,"NORMAL"
300660,"NORMAL"
300938,"NORMAL"
301209,"NORMAL"
301493,"NORMAL"
301780,"NORMAL"
302060,"NORMAL"
302345,"NORMAL"
302643,"NORMAL"
302945,"NORMAL"
303239,"NORMAL"
303500,"NORMAL"
303770,"NORMAL"
304064,"NORMAL"
304360,"NORMAL"
304637,"NORMAL"
304922,"NORMAL"
305209,"NORMAL"
305496,"NORMAL"
305706,"NORMAL"
306033,"NORMAL"
306335,"NORMAL"
306639,"NORMAL"
306939,"NORMAL"
307232,"NORMAL"
307512,"NORMAL"
307743,"NORMAL"
308061,"NORMAL"
308348,"NORMAL"
308623,"NORMAL"
308910,"NORMAL"
309214,"NORMAL"
309513,"NORMAL"
309778,"NORMAL"
310051,"NORMAL"
310331,"NORMAL"
310625,"NORMAL"
310912,"NORMAL"
311197,"NORMAL"
311485,"NORMAL"
311781,"NORMAL"
312060,"NORMAL"
312326,"NORMAL"
312604,"NORMAL"
312823,"NORMAL"
313193,"NORMAL"
313506,"NORMAL"
313806,"NORMAL"
314090,"NORMAL"
314371,"NORMAL"
314662,"NORMAL"
314950,"NORMAL"
315244,"NORMAL"
315540,"NORMAL"
315841,"NORMAL"
316134,"NORMAL"
316414,"NORMAL"
316691,"NORMAL"
316978,"NORMAL"
317264,"NORMAL"
317558,"NORMAL"
317783,"NORMAL"
318143,"NORMAL"
318436,"NORMAL"
318727,"NORMAL"
319010,"NORMAL"
319221,"NORMAL"
319584,"NORMAL"
319903,"NORMAL"
320204,"NORMAL"
320492,"NORMAL"
320784,"NORMAL"
321070,"NORMAL"
321370,"NORMAL"
321662,"NORMAL"
321966,"NORMAL"
322273,"NORMAL"
322571,"NORMAL"
322855,"NORMAL"
323135,"NORMAL"
323424,"NORMAL"
323729,"NORMAL"
324043,"NORMAL"
324337,"NORMAL"
324638,"NORMAL"
324928,"NORMAL"
325214,"NORMAL"
325492,"NORMAL"
325781,"NORMAL"
326086,"NORMAL"
326391,"NORMAL"
326696,"NORMAL"
326985,"NORMAL"
327274,"NORMAL"
327563,"NORMAL"
327855,"NORMAL"
328148,"NORMAL"
328450,"NORMAL"
328751,"NORMAL"
329053,"NORMAL"
329337,"NORMAL"
329618,"NORMAL"
329911,"NORMAL"
330215,"NORMAL"
330522,"NORMAL"
330818,"NORMAL"
331122,"NORMAL"
331409,"NORMAL"
331702,"NORMAL"
331988,"NORMAL"
332277,"NORMAL"
332586,"NORMAL"
332896,"NORMAL"
333198,"NORMAL"
333477,"NORMAL"
333766,"NORMAL"
334055,"NORMAL"
334347,"NORMAL"
334642,"NORMAL"
334942,"NORMAL"
335247,"NORMAL"
335542,"NORMAL"
335822,"NORMAL"
336098,"NORMAL"
336384,"NORMAL"
336678,"NORMAL"
336978,"NORMAL"
337278,"NORMAL"
337570,"NORMAL"
337860,"NORMAL"
338143,"NORMAL"
338430,"NORMAL"
338717,"NORMAL"
339023,"NORMAL"
339325,"NORMAL"
339630,"NORMAL"
339924,"NORMAL"
340202,"NORMAL"
340488,"NORMAL"
340778,"NORMAL"
341073,"NORMAL"
341377,"NORMAL"
341683,"NORMAL"
341972,"NORMAL"
342264,"NORMAL"
342545,"NORMAL"
342820,"NORMAL"
343114,"NORMAL"
343407,"NORMAL"
343703,"NORMAL"
343993,"NORMAL"
344276,"NORMAL"
344555,"NORMAL"
344840,"NORMAL"
345127,"NORMAL"
345414,"NORMAL"
345721,"NORMAL"
346015,"NORMAL"
346306,"NORMAL"
346595,"NORMAL"
346803,"NORMAL"
347146,"NORMAL"
347452,"NORMAL"
347757,"NORMAL"
348061,"NORMAL"
348364,"NORMAL"
348656,"NORMAL"
348933,"NORMAL"
349220,"NORMAL"
349499,"NORMAL"
349802,"NORMAL"
350110,"NORMAL"
350408,"NORMAL"
350691,"NORMAL"
350978,"NORMAL"
351263,"NORMAL"
351479,"NORMAL"
351819,"NORMAL"
352113,"NORMAL"
352414,"NORMAL"
352709,"NORMAL"
352985,"NORMAL"
353255,"NORMAL"
353546,"NORMAL"
353830,"NORMAL"
354127,"NORMAL"
354424,"NORMAL"
354716,"NORMAL"
355013,"NORMAL"
355301,"NORMAL"
355578,"NORMAL"
355856,"NORMAL"
356162,"NORMAL"
356461,"NORMAL"
356756,"NORMAL"
357044,"NORMAL"
357325,"NORMAL"
357608,"NORMAL"
357899,"NORMAL"
358184,"NORMAL"
358481,"NORMAL"
358785,"NORMAL"
359084,"NORMAL"
359363,"NORMAL"
359632,"NORMAL"
359901,"NORMAL"
360180,"NORMAL"
360469,"NORMAL"
360762,"NORMAL"
361050,"NORMAL"
361343,"NORMAL"
361622,"NORMAL"
